"RANK","NATION","CO2_total"
"1","CHINA (MAINLAND)","2806634"
"2","UNITED STATES OF AMERICA","1432855"
"3","INDIA","610411"
"4","RUSSIAN FEDERATION","465052"
"5","JAPAN","331074"
"6","GERMANY","196314"
"7","ISLAMIC REPUBLIC OF IRAN","177115"
"8","SAUDI ARABIA","163907"
"9","REPUBLIC OF KOREA","160119"
"10","CANADA","146494"
"11","BRAZIL","144480"
"12","SOUTH AFRICA","133562"
"13","MEXICO","130971"
"14","INDONESIA","126582"
"15","UNITED KINGDOM","114486"
"16","AUSTRALIA","98517"
"17","TURKEY","94350"
"18","ITALY (INCLUDING SAN MARINO)","87377"
"19","THAILAND","86232"
"20","FRANCE (INCLUDING MONACO)","82704"
"21","POLAND","77922"
"22","TAIWAN","72013"
"23","KAZAKHSTAN","67716"
"24","MALAYSIA","66218"
"25","SPAIN","63806"
"26","UKRAINE","61985"
"27","UNITED ARAB EMIRATES","57641"
"28","ARGENTINA","55638"
"29","EGYPT","55057"
"30","VENEZUELA","50510"
"31","IRAQ","45935"
"32","NETHERLANDS","45624"
"33","VIET NAM","45517"
"34","PAKISTAN","45350"
"35","ALGERIA","39651"
"36","QATAR","29412"
"37","PHILIPPINES","28812"
"38","UZBEKISTAN","28692"
"39","CZECH REPUBLIC","26309"
"40","NIGERIA","26256"
"41","KUWAIT","26018"
"42","BELGIUM","25457"
"43","COLOMBIA","22932"
"44","CHILE","22515"
"45","BANGLADESH","19959"
"46","ROMANIA","19090"
"47","TURKMENISTAN","18659"
"48","GREECE","18358"
"49","ISRAEL","17617"
"50","BELARUS","17316"
"51","PERU","16838"
"52","OMAN","16681"
"53","MOROCCO","16325"
"54","AUSTRIA","16011"
"55","LIBYAN ARAB JAMAHIRIYAH","15543"
"56","SINGAPORE","15373"
"57","NORWAY","12988"
"58","FINLAND","12899"
"59","TRINIDAD AND TOBAGO","12619"
"60","HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA","12605"
"61","PORTUGAL","12286"
"62","ECUADOR","11977"
"63","SWEDEN","11841"
"64","BULGARIA","11567"
"65","HUNGARY","11477"
"66","DEMOCRATIC PEOPLE S REPUBLIC OF KOREA","11052"
"67","SERBIA","10272"
"68","AZERBAIJAN","10223"
"69","SWITZERLAND","9628"
"70","CUBA","9500"
"71","ANGOLA","9480"
"72","NEW ZEALAND","9453"
"73","IRELAND","9290"
"74","DENMARK","9135"
"75","BAHRAIN","8546"
"76","SYRIAN ARAB REPUBLIC","8373"
"77","SLOVAKIA","8366"
"78","TUNISIA","7862"
"79","JORDAN","7213"
"80","LEBANON","6564"
"81","YEMEN","6190"
"82","BOSNIA & HERZEGOVINA","6063"
"83","MYANMAR (FORMERLY BURMA)","5899"
"84","DOMINICAN REPUBLIC","5874"
"85","MONGOLIA","5683"
"86","PLURINATIONAL STATE OF BOLIVIA","5566"
"87","ESTONIA","5323"
"88","SRI LANKA","5016"
"89","GUATEMALA","4998"
"90","CROATIA","4593"
"91","REPUBLIC OF SUDAN","4190"
"92","GHANA","3945"
"93","KENYA","3896"
"94","LITHUANIA","3501"
"95","SLOVENIA","3494"
"96","ZIMBABWE","3278"
"97","ETHIOPIA","3163"
"98","UNITED REPUBLIC OF TANZANIA","3153"
"99","COTE D IVOIRE","3012"
"100","AFGHANISTAN","2675"
"101","LUXEMBOURG","2634"
"102","KYRGYZSTAN","2620"
"103","HONDURAS","2583"
"104","BRUNEI (DARUSSALAM)","2484"
"105","GEORGIA","2451"
"106","SENEGAL","2415"
"107","PANAMA","2400"
"108","MOZAMBIQUE","2298"
"109","NEPAL","2190"
"110","COSTA RICA","2116"
"111","MACEDONIA","2048"
"112","JAMAICA","2024"
"113","BOTSWANA","1918"
"114","REPUBLIC OF CAMEROON","1910"
"115","LATVIA","1902"
"116","URUGUAY","1840"
"117","CAMBODIA","1823"
"118","BENIN","1723"
"119","PAPUA NEW GUINEA","1723"
"120","EL SALVADOR","1714"
"121","CYPRUS","1653"
"122","CURACAO","1604"
"123","ALBANIA","1559"
"124","PARAGUAY","1555"
"125","ARMENIA","1508"
"126","EQUATORIAL GUINEA","1458"
"127","UGANDA","1426"
"128","GABON","1416"
"129","TAJIKISTAN","1415"
"130","REPUBLIC OF MOLDOVA","1345"
"131","NICARAGUA","1326"
"132","DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)","1274"
"133","ZAMBIA","1228"
"134","NEW CALEDONIA","1170"
"135","MAURITIUS","1153"
"136","REUNION","1138"
"137","NAMIBIA","1024"
"138","CONGO","844"
"139","MADAGASCAR","839"
"140","HAITI","780"
"141","BURKINA FASO","777"
"142","OCCUPIED PALESTINIAN TERRITORY","774"
"143","MAURITANIA","739"
"144","TOGO","715"
"145","GUADELOUPE","700"
"146","LESOTHO","673"
"147","GUINEA","668"
"148","BAHAMAS","659"
"149","MALTA","640"
"150","MARTINIQUE","627"
"151","MONTENEGRO","603"
"152","NIGER","580"
"153","GUYANA","548"
"154","SURINAME","543"
"155","ICELAND","541"
