"Nr.crt.","County","Time_period","Illegal_cutting_of_trees","Wood_volume_illegaly_cut","Total_Wood_volume_illegaly_cut","Prejudice_per_county","Total_prejudice"
"1","Alba","2009-2011","441","","201451963","",""
"2","Arad","2009-2011","560","","","",""
"3","Arges","2009-2011","6458","","","",""
"4","Bacau","2009-2011","1910","","","",""
"5","Bihor","2009-2011","80","","","",""
"6","Bistrita Nasaud","2009-2011","948","","","",""
"7","Botosani","2009-2011","53","","","",""
"8","Braila","2009-2011","87","","","",""
"9","Brasov","2009-2011","380","","","",""
"10","Bucuresti","2009-2011","0","","","",""
"11","Buzau","2009-2011","176","","","",""
"12","Calarasi","2009-2011","185","","","",""
"13","Caras Severin","2009-2011","543","","","",""
"14","Cluj","2009-2011","1025","","","",""
"15","Constanta","2009-2011","82","","","",""
"16","Covasna","2009-2011","494","","","",""
"17","Dambovita","2009-2011","178","","","",""
"18","Dolj","2009-2011","944","","","",""
"19","Galati","2009-2011","165","","","",""
"20","Giurgiu","2009-2011","8","","","",""
"21","Gorj","2009-2011","2503","","","",""
"22","Harghita","2009-2011","510","","","",""
"23","Hunedoara","2009-2011","230","","","",""
"24","Ialomita","2009-2011","225","","","",""
"25","Iasi","2009-2011","161","","","",""
"26","Ilfov","2009-2011","278","","","",""
"27","Maramures","2009-2011","1535","","","",""
"28","Mehedinti","2009-2011","410","","","",""
"29","Mures","2009-2011","408","","","",""
"30","Neamt","2009-2011","1290","","","",""
"31","Olt","2009-2011","296","","","",""
"32","Prahova","2009-2011","2297","","","",""
"33","Salaj","2009-2011","570","","","",""
"34","Satu Mare","2009-2011","44","","","",""
"35","Sibiu","2009-2011","1003","","","",""
"36","Suceava","2009-2011","1160","","","",""
"37","Teleorman","2009-2011","39","","","",""
"38","Timis","2009-2011","501","","","",""
"39","Tulcea","2009-2011","172","","","",""
"40","Valcea","2009-2011","1655","","","",""
"41","Vaslui","2009-2011","150","","","",""
"42","Vrancea","2009-2011","1302","","","",""
"43","Alba","2012","173","","120836","","4.000.000"
"44","Arad","2012","465","","","",""
"45","Arges","2012","84","5.842","","",""
"46","Bacau","2012","1339","","","",""
"47","Bihor","2012","798","","","",""
"48","Bistrita Nasaud","2012","610","5.616,93","","",""
"49","Botosani","2012","55","","","",""
"50","Braila","2012","4","","","",""
"51","Brasov","2012","1131","","","",""
"52","Bucuresti","2012","0","","","",""
"53","Buzau","2012","583","","","",""
"54","Calarasi","2012","17","","","",""
"55","Caras Severin","2012","370","7.898","","",""
"56","Cluj","2012","423","","","",""
"57","Constanta","2012","16","","","",""
"58","Covasna","2012","970","","","",""
"59","Dambovita","2012","274","16.240,451","","",""
"60","Dolj","2012","398","","","",""
"61","Galati","2012","145","","","",""
"62","Giurgiu","2012","11","","","",""
"63","Gorj","2012","853","","","",""
"64","Harghita","2012","686","3.103","","",""
"65","Hunedoara","2012","167","5.564","","",""
"66","Ialomita","2012","235","","","",""
"67","Iasi","2012","110","","","",""
"68","Ilfov","2012","95","","","",""
"69","Maramures","2012","1058","21.135","","",""
"70","Mehedinti","2012","3","","","",""
"71","Mures","2012","1532","4.251","","",""
"72","Neamt","2012","280","","","",""
"73","Olt","2012","209","","","",""
"74","Prahova","2012","2067","","","",""
"75","Salaj","2012","171","","","",""
"76","Satu Mare","2012","106","6.400,231","","",""
"77","Sibiu","2012","441","","","",""
"78","Suceava","2012","1158","16.574","","",""
"79","Teleorman","2012","1","","","",""
"80","Timis","2012","366","","","",""
"81","Tulcea","2012","276","","","",""
"82","Valcea","2012","908","","","",""
"83","Vaslui","2012","486","","","",""
"84","Vrancea","2012","421","","","",""
"85","Alba","2013-2014","933","232388","1011892","14776362","52000000"
"86","Arad","2013-2014","170","","","",""
"87","Arges","2013-2014","5851","","","",""
"88","Bacau","2013-2014","3538","","","",""
"89","Bihor","2013-2014","2235","","","",""
"90","Bistrita Nasaud","2013-2014","1628","","","",""
"91","Botosani","2013-2014","61","","","",""
"92","Braila","2013-2014","30","","","",""
"93","Brasov","2013-2014","1729","","","",""
"94","Bucuresti","2013-2014","0","","","",""
"95","Buzau","2013-2014","362","","","",""
"96","Calarasi","2013-2014","44","","","",""
"97","Caras Severin","2013-2014","911","","","",""
"98","Cluj","2013-2014","1501","377455","","17863003",""
"99","Constanta","2013-2014","135","","","",""
"100","Covasna","2013-2014","2188","","","",""
"101","Dambovita","2013-2014","340","","","",""
"102","Dolj","2013-2014","838","","","",""
"103","Galati","2013-2014","100","","","",""
"104","Giurgiu","2013-2014","440","","","",""
"105","Gorj","2013-2014","1892","","","",""
"106","Harghita","2013-2014","1720","","","",""
"107","Hunedoara","2013-2014","652","","","",""
"108","Ialomita","2013-2014","97","","","",""
"109","Iasi","2013-2014","551","","","",""
"110","Ilfov","2013-2014","71","","","",""
"111","Maramures","2013-2014","1373","178535","","8435022",""
"112","Mehedinti","2013-2014","1089","","","",""
"113","Mures","2013-2014","3351","","","",""
"114","Neamt","2013-2014","2097","","","",""
"115","Olt","2013-2014","485","","","",""
"116","Prahova","2013-2014","1610","","","",""
"117","Salaj","2013-2014","314","","","",""
"118","Satu Mare","2013-2014","247","","","",""
"119","Sibiu","2013-2014","975","","","",""
"120","Suceava","2013-2014","716","","","",""
"121","Teleorman","2013-2014","0","","","",""
"122","Timis","2013-2014","861","","","",""
"123","Tulcea","2013-2014","331","","","",""
"124","Valcea","2013-2014","1934","","","",""
"125","Vaslui","2013-2014","1324","","","",""
"126","Vrancea","2013-2014","787","","","",""
"127","Alba","2015","734","","","",""
"128","Arad","2015","562","","","","655183"
"129","Arges","2015","3087","4405","","",""
"130","Bacau","2015","1882","","","",""
"131","Bihor","2015","1197","","","",""
"132","Bistrita Nasaud","2015","848","6372","","",""
"133","Botosani","2015","253","","","",""
"134","Braila","2015","85","","","",""
"135","Brasov","2015","780","3988","","",""
"136","Bucuresti","2015","0","","","",""
"137","Buzau","2015","1138","","","",""
"138","Calarasi","2015","93","","","",""
"139","Caras Severin","2015","566","5907","","",""
"140","Cluj","2015","1061","7912,99","","",""
"141","Constanta","2015","268","","","",""
"142","Covasna","2015","922","","","",""
"143","Dambovita","2015","1242","","","",""
"144","Dolj","2015","855","","","",""
"145","Galati","2015","381","","","",""
"146","Giurgiu","2015","163","","","",""
"147","Gorj","2015","1353","","","",""
"148","Harghita","2015","826","","","",""
"149","Hunedoara","2015","478","","","",""
"150","Ialomita","2015","249","","","",""
"151","Iasi","2015","405","16051","","",""
"152","Ilfov","2015","79","3423,87","","",""
"153","Maramures","2015","953","50649","","",""
"154","Mehedinti","2015","657","","","",""
"155","Mures","2015","1614","3768","","",""
"156","Neamt","2015","1249","","","",""
"157","Olt","2015","826","","","",""
"158","Prahova","2015","868","","","",""
"159","Salaj","2015","929","","","",""
"160","Satu Mare","2015","453","","","",""
"161","Sibiu","2015","513","3714","","",""
"162","Suceava","2015","1616","","","",""
"163","Teleorman","2015","236","","","",""
"164","Timis","2015","639","","","",""
"165","Tulcea","2015","227","","","",""
"166","Valcea","2015","1187","","","",""
"167","Vaslui","2015","503","","","",""
"168","Vrancea","2015","2893","","","",""
"169","Alba","2016","226","","","","8743654"
"170","Arad","2016","98","","","",""
"171","Arges","2016","335","","","203366",""
"172","Bacau","2016","303","","","",""
"173","Bihor","2016","180","","","",""
"174","Bistrita Nasaud","2016","194","","","",""
"175","Botosani","2016","53","","","",""
"176","Braila","2016","14","","","",""
"177","Brasov","2016","664","","","248188",""
"178","Bucuresti","2016","1","","","",""
"179","Buzau","2016","172","","","",""
"180","Calarasi","2016","126","","","",""
"181","Caras Severin","2016","202","","","276568",""
"182","Cluj","2016","133","","","357516",""
"183","Constanta","2016","8","","","",""
"184","Covasna","2016","204","","","",""
"185","Dambovita","2016","261","","","",""
